Brand,Model,YearOfFabrication,Kilometres,Location,PriceEuro
Abarth,500,2009,100400,Cluj,7900
Abarth,595,2020,49300,Prahova,18988
Abarth,595,2020,29330,Bucuresti,18990
Abarth,695,2022,9900,Bihor,34999
Aixam,Coupe,2022,5800,Prahova,11780
Aixam,Coupe,2022,2,Timis,11976
Aixam,Miniauto,2023,5,Bucuresti,11697
Aixam,Miniauto,2023,2,Bucuresti,13207
Alfa Romeo,159,2005,330000,Iasi,3600
Alfa Romeo,159,2006,311000,Timis,3250
Alfa Romeo,159,2006,203000,Timis,3300
Alfa Romeo,159,2006,201650,Cluj,3750
Alfa Romeo,159,2007,270000,Timis,2800
Alfa Romeo,159,2008,190000,Prahova,2300
Alfa Romeo,159,2008,248900,Arges,2700
Alfa Romeo,159,2008,205100,Timis,2900
Alfa Romeo,159,2009,278980,Bucuresti,4590
Alfa Romeo,159,2010,299000,Constanta,3990
Alfa Romeo,159,2011,163000,Bihor,6750
Alfa Romeo,159,2012,250000,Cluj,5750
Alfa Romeo,Brera,2007,230000,Constanta,4800
Alfa Romeo,GT,2007,196000,Timis,2400
Alfa Romeo,Giulia,2016,121000,Bihor,18699
Alfa Romeo,Giulia,2017,199900,Maramures,13990
Alfa Romeo,Giulia,2017,79000,Dolj,18500
Alfa Romeo,Giulia,2017,76335,Ilfov,20950
Alfa Romeo,Giulia,2018,199000,Bucuresti,15500
Alfa Romeo,Giulia,2018,89500,Brasov,31000
Alfa Romeo,Giulia,2019,88756,Bucuresti,27500
Alfa Romeo,Giulia,2019,56642,Ilfov,31990
Alfa Romeo,Giulia,2019,54500,Timis,35400
Alfa Romeo,Giulia,2023,258,Bucuresti,53826
Alfa Romeo,Giulietta,2011,250000,Arad,5790
Alfa Romeo,Giulietta,2013,244000,Timis,6499
Alfa Romeo,Giulietta,2013,202494,Cluj,7650
Alfa Romeo,Giulietta,2017,95522,Bucuresti,21500
Alfa Romeo,Mito,2009,97500,Dolj,4950
Alfa Romeo,Mito,2010,172088,Ilfov,4750
Alfa Romeo,Mito,2010,189062,Suceava,5850
Alfa Romeo,Stelvio,2017,110600,Bucuresti,23989
Alfa Romeo,Stelvio,2018,92453,Cluj,23500
Alfa Romeo,Stelvio,2018,133386,Ilfov,26989
Alfa Romeo,Stelvio,2018,137327,Ilfov,28989
Alfa Romeo,Stelvio,2018,74359,Galati,30928
Alfa Romeo,Stelvio,2021,209500,Bucuresti,23999
Alfa Romeo,Stelvio,2022,14900,Timis,54899
Alfa Romeo,Stelvio,2022,6200,Timis,54989
Alfa Romeo,Stelvio,2022,16000,Suceava,95000
