idFactura,dataFactura,userID,bazarID,suma,tipFactura
1,18-May-2023,1,14,7110,cumparare
2,04-Jul-2023,2,32,17089,cumparare
3,16-Nov-2023,3,10,17091,cumparare
4,07-Jun-2023,4,5,31499,cumparare
5,02-Nov-2023,5,32,10602,cumparare
6,15-Mar-2023,6,38,10778,cumparare
7,27-Oct-2023,7,10,10527,cumparare
8,22-Nov-2023,8,10,11886,cumparare
9,08-Jul-2023,9,25,3240,cumparare
10,25-Sep-2023,10,38,2925,cumparare
11,19-Mar-2023,11,38,2970,cumparare
12,11-Oct-2023,12,14,3375,cumparare
13,18-Jun-2023,13,38,2520,cumparare
14,06-Jan-2023,14,32,2070,cumparare
15,09-Apr-2023,15,3,2430,cumparare
16,05-Sep-2023,16,38,2610,cumparare
17,05-Apr-2023,17,10,4131,cumparare
18,10-Aug-2023,18,15,3591,cumparare
19,14-Nov-2023,19,5,6075,cumparare
20,01-Oct-2023,20,14,5175,cumparare
21,19-May-2023,21,15,4320,cumparare
22,11-Feb-2023,22,38,2160,cumparare
23,12-Jul-2023,23,5,16829,cumparare
24,05-Apr-2023,24,27,12591,cumparare
25,22-Mar-2023,25,18,16650,cumparare
26,09-Oct-2023,26,26,18855,cumparare
27,04-Nov-2023,27,10,13950,cumparare
28,19-Aug-2023,28,9,27900,cumparare
29,22-Mar-2023,29,10,24750,cumparare
30,09-Mar-2023,30,26,28791,cumparare
31,03-Sep-2023,31,38,31860,cumparare
32,01-Jun-2023,32,10,48443,cumparare
33,03-Jun-2023,33,2,5211,cumparare
34,04-Sep-2023,34,38,5849,cumparare
35,24-Feb-2023,35,14,6885,cumparare
36,18-Oct-2023,36,10,19350,cumparare
37,14-May-2023,37,18,4455,cumparare
38,28-Sep-2023,38,26,4275,cumparare
39,18-Feb-2023,39,36,5265,cumparare
40,24-Nov-2023,40,10,21590,cumparare
41,07-Feb-2023,41,14,21150,cumparare
42,09-Sep-2023,42,26,24290,cumparare
43,16-Jun-2023,43,26,26090,cumparare
44,10-Jun-2023,44,19,27835,cumparare
45,20-Jan-2023,45,10,21599,cumparare
46,17-Jul-2023,46,38,49409,cumparare
47,12-Feb-2023,47,38,49490,cumparare
48,03-Jan-2023,48,36,85500,cumparare
49,10-Apr-2023,49,38,39020,cumparare
50,27-Mar-2023,50,25,38823,cumparare
51,20-Jan-2023,51,40,3780,cumparare
52,11-Aug-2023,52,42,5751,cumparare
53,23-Jan-2023,53,14,23220,cumparare
54,28-Jan-2023,54,9,3328,cumparare
55,12-May-2023,55,9,3598,cumparare
56,15-Jul-2023,56,9,5218,cumparare
57,24-Aug-2023,57,1,40500,cumparare
58,22-Dec-2023,58,26,359990,cumparare
59,19-May-2023,59,25,251391,cumparare
60,25-Mar-2023,60,5,116729,cumparare
61,13-Feb-2023,61,22,72000,cumparare
