idFactura,dataFactura,userID,bazarID,suma,tipFactura
1,02-Nov-2023,1,14,7110,cumparare
2,24-Aug-2023,2,32,17089,cumparare
3,15-Aug-2023,3,10,17091,cumparare
4,05-Nov-2023,4,5,31499,cumparare
5,05-May-2023,5,32,10602,cumparare
6,01-Dec-2023,6,38,10778,cumparare
7,01-Dec-2023,7,10,10527,cumparare
8,23-Nov-2023,8,10,11886,cumparare
9,11-Aug-2023,9,25,3240,cumparare
10,22-Nov-2023,10,38,2925,cumparare
11,23-Nov-2023,11,38,2970,cumparare
12,21-Jul-2023,12,14,3375,cumparare
13,27-May-2023,13,38,2520,cumparare
14,16-May-2023,14,32,2070,cumparare
15,07-Aug-2023,15,3,2430,cumparare
16,17-Jan-2023,16,38,2610,cumparare
17,10-Aug-2023,17,10,4131,cumparare
18,24-Dec-2023,18,15,3591,cumparare
19,09-Mar-2023,19,5,6075,cumparare
20,16-Jul-2023,20,14,5175,cumparare
21,08-Feb-2023,21,15,4320,cumparare
22,24-May-2023,22,38,2160,cumparare
23,22-Apr-2023,23,5,16829,cumparare
24,07-Jun-2023,24,27,12591,cumparare
25,02-May-2023,25,18,16650,cumparare
26,13-Aug-2023,26,26,18855,cumparare
27,03-Mar-2023,27,10,13950,cumparare
28,20-Dec-2023,28,9,27900,cumparare
29,26-Aug-2023,29,10,24750,cumparare
30,04-May-2023,30,26,28791,cumparare
31,05-Feb-2023,31,38,31860,cumparare
32,16-Jul-2023,32,10,48443,cumparare
33,13-Feb-2023,33,2,5211,cumparare
34,01-Nov-2023,34,38,5849,cumparare
35,02-Feb-2023,35,14,6885,cumparare
36,22-Mar-2023,36,10,19350,cumparare
37,08-Jun-2023,37,18,4455,cumparare
38,02-Mar-2023,38,26,4275,cumparare
39,25-Nov-2023,39,36,5265,cumparare
40,28-Feb-2023,40,10,21590,cumparare
41,17-Jan-2023,41,14,21150,cumparare
42,01-Nov-2023,42,26,24290,cumparare
43,05-Jan-2023,43,26,26090,cumparare
44,23-Feb-2023,44,19,27835,cumparare
45,27-Nov-2023,45,10,21599,cumparare
46,18-Mar-2023,46,38,49409,cumparare
47,02-Sep-2023,47,38,49490,cumparare
48,05-Mar-2023,48,36,85500,cumparare
49,25-Aug-2023,49,38,39020,cumparare
50,05-Feb-2023,50,25,38823,cumparare
51,15-Jun-2023,51,40,3780,cumparare
