Brand,Model,YearOfFabrication,Kilometres,Location,PriceEuro,ClientID,LicensePlateNumber,VIN
Abarth,500,2009,100400,Cluj,7900,JMKCJXPO,CJ 865 VEN,ZFAK0EG4NDGZ9QCH8
Abarth,595,2020,49300,Prahova,18988,RQHDEVXL,PH 038 RYW,ZFAAP2EIE4BW23TO9
Abarth,595,2020,29330,Bucuresti,18990,PNWCNNIQ,B 269 NBV,ZFAA8G5P5S806HGG3
Abarth,695,2022,9900,Bihor,34999,BHVMHJVG,BH 915 GND,ZFACJ7HAHRD3I6AGX
Aixam,Coupe,2022,5800,Prahova,11780,GOMFPTQZ,PH 335 WIO,VAAC01S94D2JA4AZ6
Aixam,Coupe,2022,2,Timis,11976,NBXGJRSQ,TM 099 PLJ,VAACV4XO1J2T00K67
Aixam,Miniauto,2023,5,Bucuresti,11697,WKPTXQCF,B 125 GTN,VAADK87YOHRGV7BM4
Aixam,Miniauto,2023,2,Bucuresti,13207,ENGSTRSX,B 063 LWQ,VAADAMZUUERRM3JW6
Alfa Romeo,159,2005,330000,Iasi,3600,EQAUQERB,IS 156 FZR,ZARFE77GPVGB8BHX8
Alfa Romeo,159,2006,311000,Timis,3250,PISMMECV,TM 516 PGJ,ZARGJDVLPAD48X3I8
Alfa Romeo,159,2006,203000,Timis,3300,ZYABIJOL,TM 484 JNI,ZARGLN86XWC4HAXM8
Alfa Romeo,159,2006,201650,Cluj,3750,GLZNSFJO,CJ 891 OXV,ZARGBIA42N5X6YQG8
Alfa Romeo,159,2007,270000,Timis,2800,BYOTIGQU,TM 157 NVK,ZARHQPWI3OMHWDW05
Alfa Romeo,159,2008,190000,Prahova,2300,WECQALIM,PH 085 AHQ,ZARJWINGYIBTKA0T8
Alfa Romeo,159,2008,248900,Arges,2700,YJIUDBCS,AG 929 RBM,ZARJ3O23SJRCKI770
Alfa Romeo,159,2008,205100,Timis,2900,BZMXETDG,TM 904 LKF,ZARJ3KQJOBVI2UET6
Alfa Romeo,159,2009,278980,Bucuresti,4590,FALVYQLN,B 278 JFX,ZARKDK9NOCBX0V72X
